"","adm0_name","adm0_gaulcode","adm0_pcod3","adm0_pcod2","region","adm1_name","adm1_gaulcode","adm1_pcod3","adm1_pcod2","adm2_name","adm2_gaulcode","adm2_pcod3","currentmar2021_population","currentmar2021_phase_class","currentmar2021_phase1","currentmar2021_phase2","currentmar2021_phase3","currentmar2021_phase4","currentmar2021_phase5","currentmar2021_phase35","chtype","exercise_code","exercise_label","exercise_year","reference_code","reference_label","reference_year","currentmar2021_foodconsumption_phase","currentmar2021_livelihoods_phase","currentmar2021_nutrition_phase","currentmar2021_mortality_phase","notes","Comments","DataSource","status","adm2_pcod2.y","projectedmar2021_population","projectedmar2021_phase_class","projectedmar2021_phase1","projectedmar2021_phase2","projectedmar2021_phase3","projectedmar2021_phase4","projectedmar2021_phase5","projectedmar2021_phase35","projectedmar2021_foodconsumption_phase","projectedmar2021_livelihoods_phase","projectedmar2021_nutrition_phase","projectedmar2021_mortality_phase","adm2_pcod2","currentmar2021_phase_class_calc","projectedmar2021_phase_class_calc","currentmar2021_phase_class_diff","projectedmar2021_phase_class_diff"
"1","Guinea",106,"GIN","GN",NA,"Boke",40700,"GN0101","GN101","Boffa",40708,"GIN0101",261085,2,203646,52217,5222,0,0,5222,"current",2,"Jan-May",2021,2,"Jan-May",2021,2,2,NA,NA,NA,NA,NA,NA,"GN0101",261085,1,211479,49606,0,0,0,0,1,1,NA,NA,"GN0101",2,1,"Same","Same"
"2","Guinea",106,"GIN","GN",NA,"Boke",40700,"GN0101","GN101","Boke",40709,"GIN0102",813790,2,618480,179034,16276,0,0,16276,"current",2,"Jan-May",2021,2,"Jan-May",2021,2,2,NA,NA,NA,NA,NA,NA,"GN0102",813790,2,610343,187172,16276,0,0,16276,2,2,NA,NA,"GN0102",2,2,"Same","Same"
"3","Guinea",106,"GIN","GN",NA,"Boke",40700,"GN0101","GN101","Fria",40729,"GIN0105",118795,2,93848,23759,1188,0,0,1188,"current",2,"Jan-May",2021,2,"Jan-May",2021,2,2,NA,NA,NA,NA,NA,NA,"GN0105",118795,1,98600,20195,0,0,0,0,1,1,NA,NA,"GN0105",2,1,"Same","Same"
"4","Guinea",106,"GIN","GN",NA,"Boke",40700,"GN0101","GN101","Gaoual",40710,"GIN0103",237892,1,202208,35684,0,0,0,0,"current",2,"Jan-May",2021,2,"Jan-May",2021,1,1,NA,NA,NA,NA,NA,NA,"GN0103",237892,1,195071,42821,0,0,0,0,1,1,NA,NA,"GN0103",1,1,"Same","Same"
"5","Guinea",106,"GIN","GN",NA,"Boke",40700,"GN0101","GN101","Koundara",40711,"GIN0104",159602,1,135662,23940,0,0,0,0,"current",2,"Jan-May",2021,2,"Jan-May",2021,1,2,NA,NA,NA,NA,NA,NA,"GN0104",159602,1,130874,28728,0,0,0,0,1,2,NA,NA,"GN0104",1,1,"Same","Same"
"6","Guinea",106,"GIN","GN",NA,"Faranah",40702,"GN0301","GN301","Dabola",40717,"GIN0301",222591,1,186976,35615,0,0,0,0,"current",2,"Jan-May",2021,2,"Jan-May",2021,1,2,NA,NA,NA,NA,NA,NA,"GN0301",222591,1,182525,40066,0,0,0,0,1,2,NA,NA,"GN0301",1,1,"Same","Same"
"7","Guinea",106,"GIN","GN",NA,"Faranah",40702,"GN0301","GN301","Dinguiraye",40718,"GIN0302",241352,2,164119,62752,12068,2414,0,14481,"current",2,"Jan-May",2021,2,"Jan-May",2021,2,2,NA,NA,NA,NA,NA,NA,"GN0302",241352,2,156879,69992,12068,2414,0,14481,2,2,NA,NA,"GN0302",2,2,"Same","Same"
"8","Guinea",106,"GIN","GN",NA,"Faranah",40702,"GN0301","GN301","Faranah",40719,"GIN0303",344272,1,302959,41313,0,0,0,0,"current",2,"Jan-May",2021,2,"Jan-May",2021,1,2,NA,NA,NA,NA,NA,NA,"GN0303",344272,1,282303,61969,0,0,0,0,1,2,NA,NA,"GN0303",1,1,"Same","Same"
"9","Guinea",106,"GIN","GN",NA,"Faranah",40702,"GN0301","GN301","Kissidougou",40720,"GIN0304",348097,1,306325,41772,0,0,0,0,"current",2,"Jan-May",2021,2,"Jan-May",2021,1,2,NA,NA,NA,NA,NA,NA,"GN0304",348097,1,292401,55696,0,0,0,0,1,2,NA,NA,"GN0304",1,1,"Same","Same"
"10","Guinea",106,"GIN","GN",NA,"Kankan",40703,"GN0401","GN401","Kankan",40721,"GIN0401",579498,1,492573,86925,0,0,0,0,"current",2,"Jan-May",2021,2,"Jan-May",2021,1,2,NA,NA,NA,NA,NA,NA,"GN0401",579498,1,475188,104310,0,0,0,0,1,2,NA,NA,"GN0401",1,1,"Same","Same"
